cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
glycoengineering,formulation,glycosylation,sequence,modifies,2,2,high,does not cause any additional posttranslational modifications ... except the specific transformation of the glycoforms
protein-protein interactions,structure,aggregation propensity,stability,increases,2,2,high,originating from protein-protein interactions within the colloidal protein solution
biological activity,structure,tumor cell killing,quality_outcome,induces,2,1,high,"aim to improve complement activation, antibody-dependent cellular cytotoxicity (ADCC) ... to allow multistep elimination"
air-liquid interface,stress,number of protein particles in bulk solution,quality_outcome,increases,2,1,high,the number of protein particles measured in bulk mAb solutions depends on the total number of compression cycles that pr
ph,stress,non-covalent association,structure,binds,2,2,high,non-covalent interactions between C(gamma)2 and C(gamma)3 domains are restored very slowly
aggregation propensity,stability,developability,quality_outcome,decreases,2,2,high,The data presented show that this approach can significantly reduce liabilities in novel therapeutic antibodies and prot
pyroglutamic acid formation,sequence,charge variants,quality_outcome,induces,2,2,high,These variants were attributed to pyroglutamic acid formation ... through characteristic mass shifts and changes in elec
agitation,stress,foam formation,quality_outcome,decreases,2,1,high,short displacements and high agitation frequencies were found to be desirable conditions...while foam formation was mini
downstream processing,stress,aggregation,stability,induces,2,2,high,mAb aggregates induced by different stresses occurring during downstream processing
aggregation,stability,patient safety,quality_outcome,decreases,2,2,high,can impact ... the patient's safety
fcrn,sequence,albumin/IgG levels,quality_outcome,correlates,2,1,medium,evaluated fcgrt sequence and association of its promoter variable number tandem repeats (VNTR) ... with albumin/IgG leve
low ph,formulation,acidic variants,quality_outcome,decreases,2,2,high,acidic charge variant contents were significantly decreased by pH downshift.
raffinose (supplementation),formulation,glycan,quality_outcome,increases,2,1,high,raffinose predominantly enhanced mannose 5 glycans
conformational change,structure,biological activity,quality_outcome,degrades,2,2,high,minimize change in the conformational structure of antibody ... while retaining the immunoreactivity
post-translational modifications,sequence,acidic variants,quality_outcome,promotes,2,2,high,charge variants ... are cumulative effects of various post-translational modifications and chemical degradations on anti
galactosylation,sequence,acidic variants,quality_outcome,promotes,2,2,high,charge variants ... are cumulative effects of various post-translational modifications and chemical degradations on anti
high concentration,formulation,liquid-liquid phase separation,stability,promotes,2,2,high,"phase separation characterized by liquid drops under certain conditions including neutral pH, low ionic strength, and hi"
perfusion culture,formulation,galactosylation,sequence,modifies,2,2,high,the perfusion culture produced ... more galactose ... compared to the fed-batch culture
"non-human ptms (galactose-alpha1,3-galactose; n-glycolylneuraminic acid)",sequence,immunogenicity,quality_outcome,increases,2,2,high,which are potentially immunogenic
accelerated stability,stress,degradation,stability,increases,2,2,medium,mAb E is more susceptible to physicochemical degradation...under accelerated conditions
diffusion interaction parameter,structure,solubility,stability,correlates,2,2,high,"Intermolecular interactions (interaction parameter, kD) related well with high concentration solubility behavior of both"
ionic strength,formulation,intermolecular interactions,structure,modifies,2,1,high,Upon increasing buffer ionic strength... those of mAb-G became more attractive
net charge,sequence,adsorption,structure,modifies,2,2,high,This allows the description of the adsorption equilibrium of the chromatographed proteins as a function of pH
arginine,formulation,hmw species,quality_outcome,modifies,2,2,high,larger oligomers required arginine for effective elution
amino acid oxidation,stress,binding activity,structure,prevents,2,2,high,this oxidation of an unpaired cysteine in the antibody CDR would block a potential antigen binding pocket.
cysteinylation,sequence,binding activity,quality_outcome,inhibits,2,1,high,the modification interferes with the ability of the modified antibody arm to bind antigen.
hmw species,stability,avidity (multivalent interactions),structure,modifies,2,2,medium,apparent differences observed in the FcRn binding across different product lots in the cell-based format can be attribut
buffer composition,formulation,self-association,structure,promotes,2,2,medium,high viscosity for DVD-Ig(TM) protein at certain pH and ionic strength conditions
disulfide bond,structure,cysteinylation,sequence,correlates,2,2,high,"In the A isoform, the major site of the...cysteinylation is between the first disulfide bond in the hinge region"
oxidation,stress,conformational change,structure,modifies,2,2,high,HDX-MS analyses identified individual regions with altered conformation for force-oxidized samples
formulation pH,formulation,precipitation,structure,precipitates,2,1,high,These plasma proteins...lost solubility at the resulting pH in the mixture with formulated Avastin (pH 6.2)
excipients,formulation,plasma stability,stability,aggregates,2,1,high,Avastin (bevacizumab) and Herceptin (trastuzumab)... underwent rapid aggregation upon dilution into 5% dextrose when mix
expression host,stress,fragmentation,stability,promotes,2,2,medium,Gel electrophoresis of leaf extracts revealed ... smaller antibody fragments (from antibody expressed in N. tabacum)
arginine,formulation,hydration,structure,modifies,2,1,high,At lower concentrations of ~10 mg/mL mAb1 ... arginine modulated the hydration layer
sucrose,formulation,hydration,structure,modifies,2,1,high,sucrose altered the hydration layer around a mAb (mAb1)
proline,formulation,hydration,structure,modifies,2,1,high,Proline ... altered the hydration layer around a mAb (mAb1)
igg1,sequence,binding activity,quality_outcome,modifies,2,1,high,Reactivity of the IgG1 antibody was greater than the parental IgG2 antibody for SF2 infected cells
complementarity determining region (cdr),structure,binding activity,quality_outcome,decreases,2,2,high,framework residue that interferes with paratope and antigen binding
air-liquid interface,stress,shear stress,stability,promotes,2,2,medium,hydrodynamic disruptions to these A/S interfaces can result in the formation of protein aggregates
positively charged variable domains,sequence,fcrn binding,quality_outcome,correlates,2,1,high,format dependency of rhumAb2-FcRn binding is linked to the basic residues that form a positively charged patch in the va
charge variants,stability,immunogenicity,quality_outcome,correlates,2,2,high,have to be deeply characterized ... for the assessment of immunogenicity and safety effects
fc engineering,sequence,half-life,stability,modifies,2,2,high,Fc engineering has been extensively studied... modulates its related effector functions and serum half-life
ion exchange chromatography (IEX),formulation,charge variants,stability,correlates,2,2,high,IEX are considered as the gold standard for the analysis of ... charge-related variants
asparagine deamidation,stability,deamidation,stability,deamidates,2,2,high,Antibodies with either isoaspartate or aspartate from deamidation
high monoclonal antibody concentration,formulation,aggregation,formulation,modifies,2,2,medium,"the two IgG1 demonstrated different ... surfactant dependency, especially at high mAb concentrations"
40 mg weekly dosing,formulation,pharmacokinetics,quality_outcome,stabilizes,2,1,high,Mean serum adalimumab concentrations after 40-mg weekly dosing reached steady state ... by week 2 and were maintained th
hmw species,stability,monomer content,stability,decreases,2,2,medium,slight increase in high molecular weight aggregates and a reduction in bevacizumab monomers were observed
ionic strength,formulation,aggregation kinetics,stability,modifies,2,2,medium,change in the ranking for affecting the thermal stability and aggregation kinetics as the salt concentration increases
arginine,structure,domain unfolding,stability,inhibits,2,2,medium,binding of Arg did not lead to more destabilization of the C2 domain by the Arg salts at low concentrations
therapeutic monoclonal antibodies (mabs),sequence,immunogenicity,quality_outcome,correlates,2,2,medium,"If biologics have Achilles' heel, it is their potential immunogenicity"
aggregation-prone regions in Fab,sequence,aggregation,stability,promotes,2,2,high,We engineered out aggregation-prone regions on the Fab domain of a therapeutic monoclonal antibody
molecular crowding,structure,aggregation,stability,decreases,2,2,high,by either removing or masking the aggregation-prone region or crowding out protein-protein interactions
swapping fc to igg2 subclass,structure,biological activity,quality_outcome,decreases,2,1,high,Swapping D23-1G7C2-IgG1 to IgG2 ... reduced ADE activity in FcgammaRI and FcgammaRII-bearing THP-1 cells
protein g ig-binding domain (protg),formulation,fc region,structure,binds,2,2,high,Protein G as a linker to bind the antibody through its Fc region
arginine,formulation,reversible self-association,stability,inhibits,2,2,high,"When arginine and NaCl are added, they disrupt RSA of mAb-J"
electrostatic interactions,structure,reversible self-association,stability,promotes,2,2,high,mAb-J undergoes RSA primarily through electrostatic interactions
developability,quality_outcome,pharmacokinetics,stability,prevents,2,2,medium,highlight a key role for early stage developability screening to eliminate clones with such high nonspecific disposition
self-association,quality_outcome,clearance,stability,correlates,2,2,medium,This phenotypic difference correlates with faster clearance rates for briakinumab
post-translational modifications,sequence,micro-heterogeneity,quality_outcome,induces,2,2,high,"heterogeneity, which results from multiple types of post-translational modifications (PTMs)"
degradation,stability,protein stability,stability,destabilizes,2,2,medium,"We demonstrate the differences in the stability and bioactivity of the 3 antibodies, and reveal differential degradation"
tryptophan oxidation,stability,degradation,stability,induces,2,2,medium,reveal differential degradation pathways for the antibodies susceptible to oxidation.
amino acid sequence,sequence,folding stability,structure,correlates,2,2,high,"the lower-secreting mAb ... was by no means defective in terms of its folding stability, antigen binding, and in vitro b"
thioether linkage,structure,disulfide bond,stability,stabilizes,2,2,high,which could be explained by the greater stability of the thioether compared to the disulfide linkage.
ffa precipitation,formulation,particle formation,quality_outcome,promotes,2,1,high,identifying the FFA concentration leading to visible and subvisible particle formation
protein a chromatography,stress,low ph,stability,modifies,2,2,medium,low pH may not be the sole cause of aggregation... other facets of the process may contribute significantly
2d nmr natural abundance methods,quality_outcome,higher-order structure,structure,correlates,2,1,high,The study demonstrates the feasibility of applying 2D NMR techniques to Abs and the precision with which these methods c
hydrophobicity,structure,hmw species,stability,promotes,2,2,medium,physical state differences were correlated with a dramatic increase in the hydrophobicity ... DAR6 may form multimers
histidine,formulation,viscosity,stability,decreases,2,2,high,"viscosity of MAb1 solutions was lowest in the buffer containing histidine, arginine, and aspartic acid"
fragmentation,stability,sequence coverage,sequence,modifies,2,2,medium,"These peptides cover the entire sequences... Data from tandem MS show 99%, 55%, and 99% bond cleavage for 'bottom-up', '"
arginine,formulation,glass transition temperature,stability,decreases,2,1,high,but led to low collapse temperatures of the freeze concentrates
higher-order structure,structure,increased viscosity,stability,induces,2,2,high,another molecule at 120 mg/mL solution concentration is a strong viscoelastic gel due to perturbed tertiary structure (s
calcium dipicolinate salt,formulation,viscosity,stability,decreases,2,1,high,reduces the viscosity of a mAb formulated at 150mg/mL
heat treatment,stress,thermal denaturation,stability,destabilizes,2,2,high,thermal denaturation of bevacizumab was irreversible at all pH value
fragmentation,sequence,fragments,stability,fragments,2,2,high,degradation products derived from a Ser-Ser peptide bond cleavage at the heavy chain complementarity determining region
high concentration,stability,developability,quality_outcome,promotes,2,2,high,remain stable at high concentrations...Many promising antibody programs have ultimately failed in development due to the
isogenic mm cell lines with different cd38 levels,stress,biological activity,quality_outcome,correlates,2,1,high,experiments with isogenic MM cell lines expressing different levels of CD38 revealed level of CD38 is important determin
cd38 expression,structure,biological activity,quality_outcome,correlates,2,1,high,a significant association between CD38 expression and daratumumab-mediated ADCC.
effector-to-target ratio (e:t),stress,biological activity,quality_outcome,modifies,2,2,high,expected effect of effector (natural killer cells/monocytes) to target (MM cells) ratio on ADCC.
daratumumab,structure,biological activity,quality_outcome,induces,2,1,high,"Daratumumab is an anti-CD38 monoclonal antibody with lytic activity against MM cells, including ADCC."
binding activity,sequence,efficacy against cancer cells,quality_outcome,modifies,2,2,high,This approach ensures specificity and efficacy in fighting cancer cells
drug-to-antibody ratio,formulation,pharmacokinetics,quality_outcome,modifies,2,2,high,various drug-loaded forms of ADCs ... may have distinct pharmacokinetics (PK) in vivo
drug-to-antibody ratio,formulation,efficacy,quality_outcome,modifies,2,1,high,DAR and drug-load distribution are essential parameters of ADCs as they determine their stability and efficacy
n-glycosylation,sequence,safety,quality_outcome,requires,2,2,high,the terminal sugars of Fc glycans have been shown to be critical for safety or efficacy.
glycosylation pattern,sequence,removal from circulation / increased clearance,quality_outcome,increases,2,1,high,"""IgG1 high mannose glycoforms M5 and M6 were removed from circulation at a higher rate."""
buffer composition,formulation,glycan content,structure,modifies,2,1,high,uppermost quantities of digalacto (fully galactosylated) structures in the pH 7.4 (32%) and the HEPES (26%) buffered fer
hmw species,stability,immunogenicity,quality_outcome,increases,2,2,high,HMW species are of critical importance due to the potential risk associated with immunogenicity.
osmolality,formulation,glycan content,quality_outcome,decreases,2,1,high,"IgG2a galactose content decreased with elevated osmolality, as a result of either elevated NaHCO3 or NaCl."
liquid-liquid phase separation,stability,conformational change,structure,correlates,2,2,high,LLPS of JM2 was confirmed to be a thermodynamic equilibrium process with no structural changes
n-glycosylation,sequence,fcgammariiia binding,quality_outcome,modifies,2,2,high,"two glycoforms ... that lack plant-specific xylose and core alpha1,3-fucose ... showed significantly enhanced binding to"
n-glycosylation,sequence,fc gamma receptor (fcgammar) binding,quality_outcome,modifies,2,2,high,nature of the glycan structure on the Fc domain is a critical determinant of Fc-FcgammaR binding
nogo-a fragment (epitope),sequence,binding activity,sequence,binds,2,1,medium,Nogo-A fragment contains the amino acid sequence against which 11c7 was raised
rituximab,sequence,antibody-dependent cellular cytotoxicity (ADCC),quality_outcome,induces,2,2,high,Rituximab activity has been thought to be by antibody-dependent cellular cytotoxicity
arginine hydrochloride,formulation,oligomerization,stability,inhibits,2,1,high,only Arg-Cl effectively disrupts mAb1 dimer formation
fc region,sequence,binding affinity,structure,modifies,2,2,medium,engineering the Fc to increase its affinity for FcgammaRIIB can potentially overcome this problem.
fc gamma ri,structure,binding activity,quality_outcome,binds,2,1,high,Fc gamma RI is the primary Fc gamma receptor on monocytes involved in the binding of IgG (anti-D)-sensitized erythrocyte
biological activity,structure,protective efficacy,quality_outcome,inhibits,2,2,high,Antibodies capable to neutralize tetanus toxin (TeNT) are key factors in protection against tetanus disease.
self-association,quality_outcome,developability,quality_outcome,promotes,2,2,high,have minimal non-specific interactions...Many promising antibody programs have ultimately failed in development due to t
fcrn binding,structure,biological activity,quality_outcome,stabilizes,2,2,high,SKY59 suppressed C5 function and complement activity for a significantly longer duration compared to a conventional anti
particle size,structure,biological activity,quality_outcome,modifies,2,2,medium,"These differences may be functionally relevant, as CD4+ T cell proliferation to aggregated, but not IC ... was nearly ab"
competitive binding,structure,binding activity,quality_outcome,modifies,2,2,high,The slower association rate ... was attributed to competitive binding between the fluorescein ligand and 18-2-3 determin
deamidation,sequence,stability,stability,modifies,2,2,high,"Certain PTMs may affect bioactivity, stability or pharmacokinetics and pharmacodynamics profile"
amino acid sequence,sequence,multimer formation,structure,induces,2,1,high,the mutation of amino acid residue p.309Q>C of mouse IgG ... induced multimer formation
thermal stress,stress,chromatographic profile,quality_outcome,correlates,2,1,medium,Thermal stress of the collected main peak in pH 9 buffer ... generated chromatograms that are highly similar to those fr
thermal stress,stress,acidic variants,quality_outcome,induces,2,2,high,acidic species were generated by thermal stress of the collected main peak
in vivo stability,quality_outcome,subcutaneous,quality_outcome,decreases,2,2,medium,"Although lymphoid tissue was expected to accumulate drug due to the high levels of CCL21 present, bioavailability follow"
cho cathepsin d (aspartyl protease),sequence,fragmentation,stability,fragments,2,1,high,Protease activity and inhibitor stability studies confirmed that an aspartyl protease was responsible for fragmentation 
glycosylation pattern,sequence,inflammatory potential of IgG,quality_outcome,increases,2,1,high,Both UC and CD were associated with significantly decreased IgG galactosylation... The observed differences indicate sig
immunization to ifx,quality_outcome,immunogenicity,quality_outcome,induces,2,1,medium,involvement of a Th1 response to TNFalpha blockers following immunization; IFX-specific Th1 ... responses observed in pa
neutral 0.5 M NaCl (wash),formulation,binding activity,stability,correlates,2,1,high,Similar differences were observed in the binding stability of serum antibodies from autoimmune mice to DNA and TNP
concentration,formulation,infection of primary pbmc by r5 viruses,quality_outcome,inhibits,2,1,high,low nanomolar concentrations of both PRO 140 and RANTES inhibited infection of primary PBMC
chemical stability,stability,potency,quality_outcome,decreases,2,2,high,"The thioether-linked immunotoxin ... had low cytotoxic potency, consistent with the requirement of a reducible disulfide"
amino acid sequence,sequence,immune-mediated toxicities,quality_outcome,induces,2,1,high,"Early therapeutic Mabs were murine proteins, and clinical testing of these agents revealed serious immune-mediated toxic"
elevated temperature,stress,chemical stability,quality_outcome,induces,2,2,medium,96 different formulations... were automatically prepared and analyzed after incubation at high temperature
dose,formulation,half-life,stability,decreases,2,2,high,t1/2 values ... were 145 hr and 62 hr in male rats after 10 and 100 mg/kg doses
acidic ph,stress,conformational change,structure,modifies,2,2,medium,epitope that may be fully exposed upon pH-induced conformational changes in HA.
repeated intraperitoneal administration,formulation,immunogenicity,sequence,induces,2,1,high,Repeated intraperitoneal administration ... leads to the development of an immune response ... part of which is directed
amino acid sequence,sequence,light-chain truncation,stability,fragments,2,1,high,truncation of the Lc was caused due to the use of the murine Hc signal peptide together with a lambda Lc containing an S
ph,structure,charge distribution,quality_outcome,modifies,2,2,medium,It is likely that the observed increases in the pI of murine IgG2a were due to increased organellar pH.
spray drying,stress,thermal stress,stress,induces,2,2,high,"based on a high-temperature, spray-drying model ... attributed the ... localized thermal effect"
thermal stress,stress,subvisible particle formation,quality_outcome,induces,2,1,high,"We attributed the grinding-induced, localized thermal effect to be the primary stress to subvisible particle formation"
immunogenicity,quality_outcome,incomplete b-cell depletion,quality_outcome,promotes,2,1,high,significant association between both presence and titres of ADAs and incomplete B-cell depletion
deaggregation,formulation,immunogenicity,quality_outcome,decreases,2,1,high,deaggregation does significantly reduce the anti-hIgG response to 'susceptible' strains
residual host cell proteins (HCPs),quality_outcome,immunogenicity,quality_outcome,induces,2,2,high,Residual host cell proteins (HCPs) in biopharmaceuticals ... can present potential safety risks to patients.
fqq-yte fc mutations,sequence,biological activity,quality_outcome,inhibits,2,1,high,retain the same biological activities as TM-YTE (... lack of antibody-dependent cell-mediated cytotoxicity)
fcrn-mediated recycling,structure,half-life,stability,stabilizes,2,2,high,primary determinant being FcRn-mediated recycling.
net charge,sequence,pharmacokinetics,stability,modifies,2,2,high,mAb charge can be important and variants with pI values of 1-2 unit difference are likely to impact PK.
mutations (engineered antibody sequence changes),sequence,solubility,stability,modifies,2,2,medium,benchmark our predictions with published experimental data on... solubility of mutational variants of one of these antib
glycan content,sequence,charge heterogeneity,quality_outcome,correlates,2,2,high,the terminal galactosylation content was in relation to the acidic charge heterogeneity
aggregation,stability,charge heterogeneity,quality_outcome,induces,2,2,high,aggregation account for the majority of acidic charge heterogeneity
hydrogen peroxide,stress,methionine oxidation,sequence,oxidizes,2,2,high,an increase in methionine (Met 252 and Met 428) oxidation in the Fc region of the mAbs with a decrease in H2O2 concentra
post-translational modifications,sequence,higher-order structure,structure,modifies,2,2,high,"""...distinct class given their large molecular size, complex protein structure, and post-translational modifications."""
half-life,stability,protective efficacy,quality_outcome,correlates,2,1,high,Two antibodies that are protective ... define a Fab half-life >250min ... as characteristics of ideal interactions
concentration,formulation,methionine oxidation,stability,increases,2,2,high,"Based on the H2O2 spiking study results, we can predict the amount Fc-Met oxidation for a given protein concentration"
stress conditions,stress,charge variants,quality_outcome,induces,2,2,medium,The results support the use of stressed conditions to generate low abundance species for detailed characterization
peptide dendrons,formulation,biological activity,quality_outcome,decreases,2,1,medium,The biocompatibility of these dendrons was confirmed by hemolytic activity tests.
media composition,formulation,charge variants,quality_outcome,modifies,2,2,medium,several product quality attributes are mainly driven by the media composition
excipients,formulation,adsorption,stability,correlates,2,2,high,correlation between the observed adsorption pattern in 5% glucose solution and the filter's surface charge
motifs within complementarity-determining regions (cdrs),sequence,nonspecific binding,quality_outcome,promotes,2,1,high,and additionally enrichment of motifs containing tryptophan.
trisulfide linkages,structure,disulfide bond,structure,correlates,2,2,high,"minimizing trisulfide linkages in generated mAbs, mainly between heavy and light chain."
relaxation time τ,stability,second virial coefficient,quality_outcome,correlates,2,1,medium,τ was found to be correlated with... the second osmotic virial coefficient as determined with self-interaction chromatog
ionic strength,formulation,equilibrium surface-adsorbed amount (Γ),quality_outcome,decreases,2,1,high,"In contrast, increasing the buffer ionic strength (pH 6) reduced Γ"
storage temperature,stress,degradation,stability,decreases,2,2,high,The storage of drug substance at subzero temperatures mitigates potential risks ... such as degradation
aggregation,stability,fluorescence changes,quality_outcome,correlates,2,2,high,"which can be attributed to separable effects of protein unfolding, aggregation, and precipitation"
glycosylation pattern,sequence,fc glycan composition,sequence,requires,2,1,high,Fc glycan processing largely depend on the presence of core fucose.
buffer composition,formulation,mass spectrometric sensitivity,quality_outcome,correlates,2,2,high,"together with an average improvement of MS sensitivity by 5-times, compared to TFA"
ion-pairing,structure,mass spectrometric sensitivity,quality_outcome,decreases,2,2,high,decreases mass spectrometric sensitivity through ion-pairing
stress conditions,stress,conformational change,structure,induces,2,2,medium,Spectral changes pertinent to the stressed samples were also investigated and found to corroborate the high sensitivity 
hydrolysis,stability,polysorbate degradation,formulation,induces,2,2,high,hydrolysis being the predominant degradation mechanism leading to particulate formation
successful conjugation of drug to antibody,structure,binding activity,quality_outcome,modifies,2,2,high,Substitution with more than 11 chelators per antibody molecule was found to influence immunoreactivity
net charge,formulation,binding affinity,quality_outcome,binds,2,2,high,the affinity of the 528 MAb for the human EGFR was retained following cationization
accelerated clearance of drug,stability,concentration,formulation,decreases,2,2,high,development of anti-drug antibodies (ADAb) and an accelerated clearance of drug as a result.
free heavy chain homodimers,structure,hmw species,stability,promotes,2,1,medium,free HC homodimers might be causative of unwanted aggregation
protein a affinity chromatography,formulation,mab titer,quality_outcome,correlates,2,2,high,allows to assess mAb titer
light exposure,stress,tertiary structure,structure,modifies,2,2,high,minor changes in tertiary structure as measured by near-UV CD
high concentration,formulation,phase separation,stability,promotes,2,2,high,prone to appear at high protein concentrations such as ... phase separation
excipients,formulation,oxidation,stress,inhibits,2,2,high,"""protection from free radical damage ... through the use of the antioxidant ascorbate"""
oxidative stress,stress,biological activity,stability,decreases,2,2,high,"""protection from free radical damage to a monoclonal antibody"""
sodium chloride,formulation,viscosity,stability,increases,2,2,high,Addition of sodium chloride increased the viscosity of the NISTmAb
self-association,structure,high concentration,stability,modifies,2,2,high,These results provide important insights into the effects of intermolecular protein-protein interactions on the behavior
glass transition temperature,stability,storage stability,stability,correlates,2,2,low,showing no obvious correlation to estimated global mobility of the glass.
arginine,formulation,storage stability,stability,modifies,2,1,high,storage stability varied for the different preparations and counter ions.
site-specific conjugations,sequence,higher-order structure,structure,correlates,2,2,high,site-specific drug conjugation at the engineered Cys residue at the position 239 of HC does not impact the structural in
efficacy,quality_outcome,therapeutic index,quality_outcome,correlates,2,2,high,in combination with the demonstrated efficacy warrants ADCs with a superior therapeutic index
binding to antigen,quality_outcome,biological activity,quality_outcome,inhibits,2,2,high,"It binds specifically to the CD20 antigen ... inhibiting their proliferation through apoptosis, CDC, and ADCC mechanisms"
acidic variants,quality_outcome,biological activity,quality_outcome,correlates,2,2,high,potential influence on stability and biological activity.
acidic variants,quality_outcome,stability,stability,correlates,2,2,high,potential influence on stability and biological activity.
light exposure,stress,particle formation,stability,aggregates,2,2,high,DLS analysis of these samples showed the formation of larger soluble particles
fc region,structure,fcrn,quality_outcome,binds,2,2,high,retains ... FcRn-mediated serum persistence
arginine,formulation,binding affinity,structure,decreases,2,2,high,Replacing sodium with arginine... which is expected to decrease the mAb binding strength
temperature shift,stress,acidic variants,quality_outcome,modifies,2,2,high,temperature shift was identified... as the factor most influencing the acidic charge variant content
thermal stress,stress,precipitation,stability,promotes,2,2,medium,propensity of different mAbs to either precipitate directly ... upon exposure to thermal stress
immunogenicity,quality_outcome,patient safety,quality_outcome,decreases,2,2,high,"can have a significant effect on the safety to patients, particularly because of the increased risk of immune reactions"
hydrophobic payloads,structure,physicochemical properties,stability,modifies,2,2,medium,ADCs offer some interesting physicochemical properties... and to the (often) hydrophobic payloads that must be considere
c-terminal amidation,sequence,basic variants,quality_outcome,modifies,2,2,high,identified the presence of... C-terminal amidation... Basic variants have been fully accounted for by the identified mod
amino acid sequence,sequence,basic variants,quality_outcome,modifies,2,2,high,identified the presence of heavy chain leader sequence... Basic variants have been fully accounted for by the identified
glycan,formulation,glycan content,sequence,modifies,2,2,high,glycan enrichment using lectin chromatography ... produce enriched pools of key glycan species
formulation,formulation,degradation,stability,prevents,2,2,high,mAbs should be formulated so as to prevent their degradation and possible immunogenicity.
binding affinity,structure,protein stability,stability,prevents,2,2,high,"Such perturbations could potentially be avoided by using a high affinity, non-covalent intermediate to bridge the desire"
glycosylation,sequence,n-glycosylation patterns,quality_outcome,prevents,2,2,high,"Endogenous proteins expressed in the complete knockout line had N-glycans that lacked beta(1,2)-xylose and had a signifi"
glycan,sequence,fab fragments,structure,modifies,2,2,high,RIV6 contained carbohydrate moieties within both the Fc and Fab regions.
glycan,sequence,fc region,structure,modifies,2,1,high,MN12 was shown to contain a carbohydrate moiety within the Fc region only.
amino acid sequence,sequence,amino acid oxidation,sequence,modifies,2,2,high,differences ... in chemical modification of specific residues ... dependent on the protein sequence.
stability,stability,immunogenicity,quality_outcome,increases,2,2,high,"differences in the structure, stability, or other quality aspects of the end product... increase the risk of immune resp"
stability,stability,tolerability,quality_outcome,modifies,2,2,high,"differences in the structure, stability, or other quality aspects of the end product, all of which have the potential to"
viscosity,stability,injectability,quality_outcome,correlates,2,2,high,"inter-relationship between needle size, syringe volume, viscosity, and injectability"
spray drying,formulation,higher-order structure,structure,increases,2,2,medium,distribution of states was more heterogeneous in sucrose and trehalose samples that were spray dried.
dcc lyomate process control,stress,lyophilization,quality_outcome,stabilizes,2,1,high,"""The DCC LyoMate method did not only produce pharmaceutically acceptable cakes ..."""
formulation composition,formulation,aggregation,stability,decreases,2,2,high,The formulation also disaggregates mAb aggregation while preserving the activity
buffer composition,formulation,biological activity,quality_outcome,decreases,2,2,high,"When Avastin, Lucentis and Eylea are diluted in PBS or manufacturer's formulation, there is a 40-50% loss of ... drug ac"
human igg,sequence,binding activity,quality_outcome,inhibits,2,1,high,Human IgG inhibited binding of both AggmIgG2b and mIgG2a to U937 cells
trypsinization of u937 cells,stress,binding activity,quality_outcome,inhibits,2,1,high,Trypsinization of U937 cells abrogated by 32% the binding of mIgG2a
aggregates,stability,binding activity,quality_outcome,modifies,2,2,high,binding of aggregated murine IgG2b to U937 and Daudi cells was enhanced at low ionic strength
tryptophan oxidation,sequence,disulfide bond,structure,correlates,2,2,high,Disulfide scrambling was observed ... and correlated with Trp-to-kynurenine (Kyn) photodegradation within these triads
glycan content,sequence,pharmacokinetics,quality_outcome,modifies,2,2,medium,"The level of sialic acid, N-acetylneuraminic acid (NANA), can also have a significant impact on the PK"
glycosylation pattern,sequence,pharmacokinetics,quality_outcome,modifies,2,2,high,thus significantly impacting the pharmacokinetics (PK) and pharmacodynamics (PD) of mAbs
amino acid sequence,sequence,aggregation-prone region,structure,binds,2,2,high,These results define the major protein-protein interfaces associated with the concentration-dependent RSA of mAb-C
proteinaceous particles,stability,immunogenicity,quality_outcome,increases,2,2,high,"mice administered formulations... adsorbed onto silicone oil..., glass, or Alhydrogel showed greater ADA responses than "
adsorption,formulation,protein particles,stability,induces,2,1,high,protein particulates formed by adsorbing a murine monoclonal... onto ... glass microparticles
glycosylation pattern,structure,thermal stability,stability,destabilizes,2,2,high,shift in unfolding of the CH2 domain of plant-produced IgA toward lower temperatures
concentration,formulation,pharmacokinetics,stability,promotes,2,2,high,"At therapeutic concentrations, vedolizumab primarily undergoes linear elimination."
polysorbate degradation,formulation,polysorbate degradation,stability,correlates,2,2,high,The degree of oxidation in polysorbate 20 and polysorbate 80 are comparable for the head groups and saturated fatty acid
partial unfolding,structure,secondary structure,structure,stabilizes,2,2,high,retained the nativelike secondary structure
humanization,sequence,half-life,stability,stabilizes,2,2,high,was constructed to ... enhance the in vivo half-life when used in humans
n-glycosylation,sequence,glycosylation heterogeneity,quality_outcome,increases,2,2,high,N-glycosylation is host-specific and remains difficult to control in a production environment... leading to glycosylatio
ph,formulation,physical stability,stability,stabilizes,2,2,high,physical stability of the Fab' is maximized at pH 6-7
ultrafiltration-diafiltration,stress,high concentration,stability,correlates,2,2,high,"Spray-dried powders could be reconstituted to high-viscosity liquids, >300 cP, substantially beyond what an ultrafiltrat"
diffusion interaction parameter,structure,opalescence,quality_outcome,correlates,2,2,high,opalescence measurements are correlated to PPIs measured in diluted and concentrated solutions using light scattering (k
igg subclass,structure,net charge,quality_outcome,modifies,2,2,high,The effect of balancing the net positive charge on non-specific binding was more significant for the IgG4 versus the IgG
immunogenicity,quality_outcome,mu and gamma isotypes (antibody isotype composition),sequence,binds,2,2,high,Their antimouse Ig antibody responses were broadly reactive with mouse Ig of differing idiotypes and isotypes.
histidine,formulation,photostability,stability,prevents,2,2,medium,"the presence of far-UV (<260nm) strong absorbing species (e.g., sodium chloride, histidine, arginine) in common formulat"
